Title;Series Title;Author;ISBN;Level;Source of Level;Lexile Measure;Source of Lexile
True Heart;The Unicorn's Secret;Duey, Kathleen;9780689853708;M;Scholastic;;
*Cloudy with a Chance of Meatballs;;Barrett, Judi;9780689707490;M;Fountas and Pinnell;;
*Elmer and the Dragon;;Gannett, Ruth Stiles;9780394890494;M;Fountas and Pinnell;;
*Invisible in the Third Grade;;Cuyler, Margery;9780805041156 (Hardcover);M;Fountas and Pinnell;;
*Stuart Goes to School;;Pennypacker, Sara;9780439301831;M;Fountas and Pinnell;;
*Stuart's Cape;;Pennypacker, Sara;9780439301817;M;Fountas and Pinnell;;
*The Knight at Dawn;;Osborne, Mary Pope;9780679824121;M;Fountas and Pinnell;;
*Wings;;Myers, Christopher;9780590033787;M;Fountas and Pinnell;;
Jumanji;;Van Allsburg, Chris;9780395304488 (Hardcover);M;Scholastic;;
Pickles To Pittsburgh;;Barrett, Judi;9780689839290;M;Scholastic;;
Princess Smartypants;;Cole, Babette;9780698115552;M;Scholastic;;
The Amazing Bone;;Steig, William;9780374403584;M;Scholastic;;
*The Catwing series;Catwings;Le Guin, Ursula;9780439551892;N;Fountas and Pinnell;;
Summer of the Sea Serpent;Magic Tree House;Osborne, Mary Pope;9780375927355;N;Scholastic;;
*Jimmy Zangwow's Out-of-This-World Moon-Pie Adventure;;DiTerlizzi, Tony;9780689855634;N;Fountas and Pinnell;;
*Mufaro's Beautiful Daughters: An African Tale;;Steptoe, John;9780688154813;N;Fountas and Pinnell;;
*My Father's Dragon;;Gannett, Ruth Stiles;9780440421214;N;Fountas and Pinnell;;
Matthew's Dragon;;Cooper, Susan;9780689717949;N;Scholastic;;
Pirate Girl;;Funke, Cornelia;9780439716727;N;Scholastic;;
Sylvester and the Magic Pebble;;Steig, William;9780671662691;N;Scholastic;;
The Dragon Slayers' Academy series;Dragon Slayers' Academy;McMullan, Kate;9780448431086 (Book One);N, O;Scholastic;;
The Evil Elves;Moongobble And Me;Coville, Bruce;9780689857591;O;Scholastic;;
*The Iron Giant;;Hughes, Ted;9780375801532;O;Fountas and Pinnell;;
A Fairy Called Hilary;;Strauss, Linda Leopold;9780439175197;O;Scholastic;;
Maximum Boy series;;Greenberg, Dan;439219485;O;;;
*2095;Time Warp Trio;Scieszka, Jon;9780142400449;P;Fountas and Pinnell;;
*Da Wild, Da Crazy, Da Vinci;Time Warp Trio;Scieszka, Jon;9780142404652;P;Fountas and Pinnell;;
*Hey Kid, Want to Buy a Bridge?;Time Warp Trio;Scieszka, Jon;9780142400890;P;Fountas and Pinnell;;
*It's All Greek to Me;Time Warp Trio;Scieszka, Jon;9780142401163;P;Fountas and Pinnell;;
*Knights of the Kitchen Table (Book One);Time Warp Trio;Scieszka, Jon;9780142400432;P;Fountas and Pinnell;;
*Me Oh Maya;Time Warp Trio;Scieszka, Jon;9780142403006;P;Fountas and Pinnell;;
*Oh Say, I Can't See;Time Warp Trio;Scieszka, Jon;9780142408087;P;Fountas and Pinnell;;
*Sam Samurai;Time Warp Trio;Scieszka, Jon;9780142400883;P;Fountas and Pinnell;;
*See You Later, Gladiator;Time Warp Trio;Scieszka, Jon;9780142401170;P;Fountas and Pinnell;;
*Summer Reading Is Killing Me;Time Warp Trio;Scieszka, Jon;9780142401156;P;Fountas and Pinnell;;
*The Good, the Bad, and the Goofy;Time Warp Trio;Scieszka, Jon;9780142400463;P;Fountas and Pinnell;;
*The Knights of the Kitchen Table;Time Warp Trio;Scieszka, Jon;9780142400432;P;Fountas and Pinnell;;
*The Not-So-Jolly Roger;Time Warp Trio;Scieszka, Jon;9780142400456;P;Fountas and Pinnell;;
*Tut, Tut;Time Warp Trio;Scieszka, Jon;9780142400470;P;Fountas and Pinnell;;
*Viking It And Liking It;Time Warp Trio;Scieszka, Jon;9780142400029;P;Fountas and Pinnell;;
*Your Mother Was a Neanderthal;Time Warp Trio;Scieszka, Jon;9780142400487;P;Fountas and Pinnell;;
*Clever Lollipop;;King-Smith, Dick;9780763621742;P;Fountas and Pinnell;;
*Fantastic Mr. Fox;;Dahl, Roald;9780142410349;P;Fountas and Pinnell;;
*Martin's Mice;;King-Smith, Dick;9780679890980;P;Fountas and Pinnell;;
*Shoebag;;James, Mary;9780590430302;P;Fountas and Pinnell;;
*The Black Snowman;;Mendez, Phil;9780590448734;P;Fountas and Pinnell;;
*The Talking Eggs: A Folktale from the American South;;San Souci, Robert D.;9780590441896;P;Fountas and Pinnell;;
*Weslandia;;Fleischman, Paul;9780763610524;P;Fountas and Pinnell;;
Princess Sonora and the Long Sleep;;Levine, Gail Carson;9780060280642;P;Scholastic;;
The Legend of Spud Murphy;;Colfer, Eoin;9780786855049;P;Scholastic;;
The Spoon in the Bathroom Wall;;Johnston, Tony;9780152056254;P;Scholastic;;
Lucinda's Secret;The Spiderwick Chronicles;DiTerlizzi, Tony;9780689859380 (Hardcover);Q;Scholastic;;
The Field Guide;The Spiderwick Chronicles;DiTerlizzi, Tony;9780689859366 (Hardcover);Q;Scholastic;;
The Seeing Stone;The Spiderwick Chronicles;DiTerlizzi, Tony;9780689859373 (Hardcover);Q;Scholastic;;
The Spiderwick Chronicles series;The Spiderwick Chronicles;DiTerlizzi, Tony;9780689859366 (Book One);Q;Scholastic;;
*James and the Giant Peach;;Dahl, Roald;9780142410363;Q;Fountas and Pinnell;;
*The Dragonling;;Koller, Jackie French;9780671867904;Q;Fountas and Pinnell;;
Fairy Dust and the Quest for the Egg;;Levine, Gail Carson;9781423108191;Q;Scholastic;;
The Magician's Boy;;Cooper, Susan;9781416915553;Q;Scholastic;;
The Secrets of Ms. Snickle's Class;;Hornik, Laurie Miller;9780618034352 (Hardcover);Q;Scholastic;;
Satch and Me;Baseball Card Adventures;Gutman, Dan;9780060594930;R;Scholastic;;
The Prophet of Yonwood;Books of Ember;DuPrau, Jeanne;9780440421245;R;Scholastic;;
*Charlie And The Chocolate Factory;Charlie And The Chocolate Factory;Dahl, Roald;9780142410318;R;Founts and Pinnell;;
*Charlotte's Web;Charlotte's Web;White, E.B.;9780064400558;R;Fountas and Pinnell;;
Return To Del;Deltora Quest;Rodda, Emily;9780439253307;R;Scholastic;;
The Maze Of The Beast;Deltora Quest;Rodda, Emily;9780439253284;R;Scholastic;;
The Maze of the Beast;Deltora Quest;Rodda, Emily;9780439253284;R;Scholastic;;
Cavern of the Fear;Deltora Quest 2;Rodda, Emily;9781865043876;R;Scholastic;;
Forging Of The Blade;Lowthar's Blade;La Fevers, R.L.;9780142405574;R;Scholastic;;
*The Monster's Ring;Magic Shop;Coville, Bruce;9780689856921;R;Fountas and Pinnell;;
The Snow Spider;Magician's Trilogy;Nimmo, Jenny;9780545071260;R;Scholastic;;
*School Spirit;Suddenly Supernatural;Kimmel, Elizabeth Cody;9780316078214;R;Fountas and Pinnell;;
The 39 Clues series;The 39 Clues;Riordan, Rick;9780545090544 (Book One);R;Scholastic;;
The Maze Of Bones;The 39 Clues;Riordan, Rick;9780545090544;R;Scholastic;;
*The Castle in the Attic;The Castle In The Attic;Winthrop, Elizabeth;9780440409410;R;Fountas and Pinnell;;
Midnight Over Sanctaphrax;The Edge Chronicles;Stewart, Paul and Riddell, Chris;9780440420989;R;Scholastic;;
Stormchaser;The Edge Chronicles;Stewart, Paul and Chris Riddell;9780440420880;R;Scholastic;;
The Curse of the Gloamglozer;The Edge Chronicles;Stewart, Paul and Riddell, Chris;9780440420996;R;Scholastic;;
The Last of the Sky Pirates;The Edge Chronicles;Stewart, Paul and Riddell, Chris;9780440421009;R;Scholastic;;
Vox;The Edge Chronicles;Stewart, Paul and Riddell, Chris;9780440421313;R;Scholastic;;
Emlyn's Moon;The Magician Trilogy;Nimmo, Jenny;9780545071253;R;Scholastic;;
Emlyn's Moon (Book Two) ;The Magician Trilogy;Nimmo, Jenny;9780439846769;R;Scholastic;;
The Snow Spider (Book One);The Magician Trilogy;Nimmo, Jenny;9780439846752;R;Scholastic;;
The Ironwood Tree;The Spiderwick Chronicles;"Black, Holly; DiTerlizzi, Tony";9780689859397 (Hardcover);R;Scholastic;;
The Wrath of Mulgarath;The Spiderwick Chronicles;"Black, Holly; DiTerlizzi, Tony";9780689859403 (Hardcover);R;Scholastic;;
*Charlie and the Great Glass Elevator;;Dahl, Roald;9780142410325;R;Fountas and Pinnell;;
*The Indian in the Cupboard;;Banks, Lynne Reid;9780375847530;R;Fountas and Pinnell;;
*The Witches;;Dahl, Roald;9780142410110;R;Fountas and Pinnell;;
Lowthar's Blade series;;La Fevers, R. L.;9780142405574 (Book One);R;Scholastic;;
Me, All Alone, at the End of the World;;Anderson, M.T.;9780763615864 (Hardcover);R;Scholastic;;
Warriors: The New Prophecy series;Warriors: The New Prophecy;Hunter, Eric;9780060744519 (Book One);R, S, T;Scholastic;;
The Edge Chronicle series;;Stewart, Paul;9780440420873 (Book One);R, S, U;Scholastic;;
City of the Rats;Deltora Quest;Rodda, Emily;9780439253253;S;Scholastic;;
The Forest of Silence;Deltora Quest;Rodda, Emily;9780439253239;S;Scholastic;;
The Lake of Tears;Deltora Quest;Rodda, Emily;9780439253246;S;Scholastic;;
The Shifting Sands;Deltora Quest;Rodda, Emily;9780439253260;S;Scholastic;;
The Valley of the Lost;Deltora Quest;Rodda, Emily;9780439253291;S;Scholastic;;
Dragon's Nest;Dragons Of Deltora;Rodda, Emily;9780439633734;S;Scholastic;;
Isle of the Dead;Dragons Of Deltora;Rodda, Emily;9780439633758;S;Scholastic;;
Shadowgate;Dragons Of Deltora;Rodda, Emily;9780439633741;S;Scholastic;;
The Sister of the South;Dragons Of Deltora;Rodda, Emily;9780439633765;S;Scholastic;;
* Voices ;Midnight Library;Graves, Damien;9780439863568;S;Fountas and Pinnell;;
The Weeping Werewolf;Moongobble and Me;Coville, Bruce;9780689857584;S;Scholastic;;
*My Teacher Flunked the Planet;My Teacher Is an Alien;Coville, Bruce;9781416903314;S;Fountas and Pinnell;;
*My Teacher Fried My Brains;My Teacher Is An Alien;Coville, Bruce;9781416903321;S;Fountas and Pinnell;;
*My Teacher Glows in the Dark;My Teacher Is An Alien;Coville, Bruce;9781416903338;S;Fountas and Pinnell;;
*My Teacher Is An Alien;My Teacher Is An Alien;Coville, Bruce;9781416903345;S;Fountas and Pinnell;;
The Sea Of Monsters;Percy Jackson & The Olympians;Riordan, Rick;9781423103349;S;Scholastic;;
*Poppy;Poppy;Avi;9780380727698;S;Fountas and Pinnell;;
Mexico, 1850;The Vampire Plagues;Rook, Sebastian;9780439633949;S;Scholastic;;
A Dangerous Path;Warriors;Hunter, Erin;9780060525651;S;Scholastic;;
Rising Storm;Warriors;Hunter, Erin;9780060525637;S;Scholastic;;
The Darkest Hour;Warriors;Hunter, Erin;9780060525859;S;Scholastic;;
Dawn;Warriors: The New Prophecy;Hunter, Erin;9780060744571;S;Scholastic;;
*Awake and Dreaming;;Pearson, Kit;9780143056379;S;Fountas and Pinnell;;
*Brave Irene;;Steig, William;9780374409272;S;Fountas and Pinnell;;
*Matilda;;Dahl, Roald;9780142410370;S;Fountas and Pinnell;;
*Which Witch?;;Ibbotson, Eva;9780141304274;S;Fountas and Pinnell;;
Horns and Wrinkles;;Helgerson, Joseph;9780618981786;S;Scholastic;;
The Secret of Platform 13;;Ibbotson, Eva;9780141302867;S;Scholastic;;
The Ellimist Chronicles;Animorphs;Applegate, K.A.;9780439217989;T;Scholastic;;
*Babe and Me;Baseball Card Adventures;Gutman, Dan;9780380805044;T;Fountas and Pinnell;; 
*Honus and Me;Baseball Card Adventures;Gutman, Dan;9780380788781;T;Fountas and Pinnell;;
*Jackie and Me;Baseball Card Adventures;Gutman, Dan;9780380800841;T;Fountas and Pinnell;;
*Mickey and Me;Baseball Card Adventures;Gutman, Dan;9780064472586;T;Fountas and Pinnell;;
*Shoeless Joe and Me;Baseball Card Adventures;Gutman, Dan;9780064472593;T;Fountas and Pinnell;;
Abner and Me;Baseball Card Adventures;Gutman, Dan;9780060534455;T;Scholastic;;
David Rain's Dragons (The Fire Within - first book);David Rain's Dragons;D'Lacey, Chris;9780439672443;T;Scholastic;;
*Dread Mountain;Deltora Quest;Rodda, Emily;9780439253277;T;Fountas and Pinnell;;
Cavern Of The Fear;Deltora Shadowlands;Rodda, Emily;9780439394918;T;Scholastic;;
The Isle Of Illusion;Deltora Shadowlands;Rodda, Emily;9780439394925;T;Scholastic;;
The Shadowlands;Deltora Shadowlands;Rodda, Emily;9780439394932;T;Scholastic;;
Inkspell;Inkheart Trilogy;Funke, Cornelia;9780439554015;T;Scholastic;;
Drowned Wednesday (Book # 3);Keys To The Kingdom;Nix, Garth;9780439436564;T;Scholastic;;
Grim Tuesday (Book # 2);Keys To The Kingdom;Nix, Garth;9780439436557;T;Scholastic;;
Lady Friday (Book # 5);Keys To The Kingdom;Nix, Garth;9780439436588;T;Scholastic;;
Mister Monday (Book # 1);Keys To The Kingdom;Nix, Garth;9780439551236;T;Scholastic;;
Sir Thursday (Book # 4);Keys To The Kingdom;Nix, Garth;9780439436571;T;Scholastic;;
Superior Saturday (Book # 6);Keys To The Kingdom;Nix, Garth;9780439436595;T;Scholastic;;
Fire Star;Last Dragon Chronicles;D'Lacey, Chris;9780439901857;T;Scholastic;;
Icefire;Last Dragon Chronicles;D'Lacey, Chris;9780439672467;T;Scholastic;;
The Fire Within;Last Dragon Chronicles;D'Lacey, Chris;9780439672443;T;Scholastic;;
May Bird and the Ever After;May Bird;Anderson, Jodi Lynn;9781416906070;T;Scholastic;;
May Bird And The Ever After;May Bird Trilogy;Anderson, Jodi Lynn;9781416906070;T;Scholastic;;
Black Water;Pendragon;MacHale, D.J.;9780689869112;T;Scholastic;;
The Rivers Of Zadaa;Pendragon;MacHale, D.J.;9780689869129;T;Scholastic;;
Rowan And The Ice Creepers;Rowan Of Rin;Rodda, Emily;9780064410236;T;Scholastic;;
Rowan And The Travelers;Rowan Of Rin;Rodda, Emily;9780060560720;T;Scholastic;;
Rowan And The Zebak;Rowan Of Rin;Rodda, Emily;9780060560744;T;Scholastic;;
Rowan Of Rin;Rowan Of Rin;Rodda, Emily;9780060560713;T;Scholastic;;
*The Horse And His Boy;The Chronicles Of Narnia;Lewis, C.S.;9780064471060;T;Fountas and Pinnell;;
Prince Caspian;The Chronicles Of Narnia;Lewis, C.S.;9780064471053;T;Scholastic;;
The Last Battle;The Chronicles Of Narnia;Lewis, C.S.;9780064471084;T;Scholastic;;
Starlight;Warriors: The New Prophecy;Hunter, Erin;9780060827625;T;Scholastic;;
Sunset;Warriors: The New Prophecy;Hunter, Erin;9780060827717;T;Scholastic;;
Twilight;Warriors: The New Prophecy;Hunter, Erin;9780060827670;T;Scholastic;;
*Magic by the Lake;;Eager, Edward;9780152020767;T;Fountas and Pinnell;;
*The Lion, The Witch, And The Wardrobe;;Lewis, C.S.;9780064471046;T;Fountas and Pinnell;;
*The Magician's Nephew;;Lewis, C.S.;9780064471107;T;Fountas and Pinnell;;
*The Wish Giver;;Brittain, Bill;9780064401685;T;Fountas and Pinnell;;
Dragon Keeper;;Wilkinson, Carole;9781423101710;T;Scholastic;;
Twelve Impossible Things Before Breakfast;;Yolen, Jane;9780152164447;T;Scholastic;;
*Animorphs series;Animorphs;Applegate, K.A.;9780590629775 (Book One);U;Fountas and Pinnell;;
The People Of Sparks;Books Of Ember;DuPrau, Jeanne;9780375828256;U;Scholastic;;
*Charlie Bone and the Beast;Children of the Red King;Nimmo, Jenny;9780439846653 (Hardcover);U;Fountas and Pinnell;;
*Charlie Bone and the Hidden King;Children of the Red King;Nimmo, Jenny;9780439545303;U;Fountas and Pinnell;;
*Charlie Bone and the Hidden King;Children of the Red King;Nimmo, Jenny;9780439545303 (Hardcover);U;Fountas and Pinnell;;
*Charlie Bone and the Invisible Boy;Children of the Red King;Nimmo, Jenny;9780439545266 (Hardcover);U;Fountas and Pinnell;;
*Charlie Bone and the Shadow;Children of the Red King;Nimmo, Jenny;9780439846691 (Hardcover);U;Fountas and Pinnell;;
*Charlie Bone and the Time Twister;Children of the Red King;Nimmo, Jenny;9780439496872 (Hardcover);U;Fountas and Pinnell;;
*Midnight For Charlie Bone;Children of the Red King;Nimmo, Jenny;9780439488396;U;Fountas and Pinnell;;
*Charlie Bone and the Castle of Mirrors;Children of theRed King;Nimmo, Jenny;9780439545280 (Hardcover);U;Fountas and Pinnell;;
Land of Loss;Everworld;Applegate, K.A.;9780590877510;U;Scholastic;;
*The Ruins Of Gorlan;Ranger's Apprentice;Flanagan, John;9780142406632;U;Fountas and Pinnell;;
*The Boggart;The Boggart;Cooper, Susan;9780689869303;U;Fountas and Pinnell;;
Freeglader;The Edge Chronicles;Stewart, Paul and Riddell, Chris;9780385736114;U;Scholastic;;
*Once Upon a Crime;The Sisters Grimm;Buckley, Michael;9780810995499;U;Fountas and Pinnell;;
*The Fairy-Tale Detectives;The Sisters Grimm;Buckley, Michael;9780810993228;U;Fountas and Pinnell;;
*The Problem Child;The Sisters Grimm;Buckley, Michael;9780810993594;U;Fountas and Pinnell;;
*The Unusual Suspects;The Sisters Grimm;Buckley, Michael;9780810993235;U;Fountas and Pinnell;;
*Fire and Ice;Warriors;Hunter, Erin;9780060525590;U;Fountas and Pinnell;;
*Forest of Secrets;Warriors;Hunter, Erin;9780060525613;U;Fountas and Pinnell;;
*Into the Wild;Warriors;Hunter, Erin;9780060525507;U;Fountas and Pinnell;;
*Book Of Three;;Alexander, Lloyd;9780805080483;U;Fountas and Pinnell;;
*Dragon Slippers;;George, Jessica Day;9781599902753;U;Fountas and Pinnell;;
*Ella Enchanted;;Levine, Gail Carson;9780064407052;U;Fountas and Pinnell;;
*Merlin and the Dragons;;Yolen, Jane;9780140558913;U;Fountas and Pinnell;;
*The BFG;;Dahl, Roald;9780142410387;U;Fountas and Pinnell;;
*The Boggart and the Monster;;Cooper, Susan;9780689869310;U;Fountas and Pinnell;;
*The Magician's Elephant;;DiCamillo, Kate;9780763644109 (Hardcover);U;Fountas and Pinnell;;
*The Miraculous Journey of Edward Tulane;;DiCamillo, Kate;9780763647834;U;Fountas and Pinnell;;
*The Tale of Despereaux;;DiCamillo, Kate;9780763625290;U;Fountas and Pinnell;;
*The Tales of Beedle the Bard;;J.K. Rowling;9780545128285 (Hardcover);U;Fountas and Pinnell;;
Castle In The Air;;Jones, Diana Wynne;9780064473453;U;Scholastic;;
Everworld series;Everworld;Applegate, K. A.;9780590877435 (Book One);U, W, X;Scholastic;;
*The Austere Academy;A Series Of Unfortunate Events;Snicket, Lemony;9780060288884;V;Fountas and Pinnell;; 
*The Carnivorous Carnival;A Series Of Unfortunate Events;Snicket, Lemony;9781615586004;V;Fountas and Pinnell;;
*The Ersatz Elevator;A Series Of Unfortunate Events;Snicket, Lemony;9781615585984;V;Fountas and Pinnell;;
*The Grim Grotto;A Series Of Unfortunate Events;Snicket, Lemony;9781615586028;V;Fountas and Pinnell;;
*The Hostile Hospital;A Series Of Unfortunate Events;Snicket, Lemony;9781615585991;V;Fountas and Pinnell;;
*The Slippery Slope;A Series Of Unfortunate Events;Snicket, Lemony;9781615586011;V;Fountas and Pinnell;;
*The Vile Village;A Series Of Unfortunate Events;Snicket, Lemony;9780060288907;V;Fountas and Pinnell;;
The End;A Series Of Unfortunate Events;Snicket, Lemony;9780060296445 (Hardcover);V;Scholastic;;
The Penultimate Peril;A Series Of Unfortunate Events;Snicket, Lemony;9780064410151 (Hardcover);V;Scholastic;;
Lord Of The Shadows;Cirque Du Freak;Shan, Darren;9780316016612;V;Scholastic;;
Sons Of Destiny;Cirque Du Freak;Shan, Darren;9780316016636;V;Scholastic;;
Fear the Fantastic;Everworld;Applegate, K.A.;9780590877640;V;Scholastic;;
Realm of the Reaper;Everworld ;Applegate, K.A.;9780590877602;V;Scholastic;;
Wild Magic;Immortals;Pierce, Tamora;9781416903437;V;Scholastic;;
*Mrs. Frisby And The Rats Of NIMH;Mrs. Frisby And The Rats Of NIMH;O'Brien, Robert C.;9780689710681;V;Fountas and Pinnell;;
Everlost;Skinjacker Trilogy;Shusterman, Neal;9780689872389;V;Scholastic;;
In The Hand Of The Goddess;Song Of The Lioness Quartet;Pierce, Tamora;9780689878565;V;Scholastic;;
Lioness Rampant;Song Of The Lioness Quartet;Pierce, Tamora;9780689878572;V;Scholastic;;
The Woman Who Rides Like A Man;Song Of The Lioness Quartet;Pierce, Tamora;9780689878589;V;Scholastic;;
*The Thief Lord;The Thief Lord;Funke, Cornelia;9780439420891;V;Fountas and Pinnell;;
